annotation,Name,E0 molarity [fmoles/µl],E1 molarity [fmoles/µl],E2 molarity [fmoles/µl]
1,SIRV101,1,1,1
1,SIRV102,1,0.5,0.25
1,SIRV103,1,1,1
1,SIRV105,1,0.25,4
1,SIRV106,1,1,1
1,SIRV107,1,0.25,4
1,SIRV108,1,0.5,0.25
1,SIRV109,1,2,0.03125
1,SIRV201,1,0.5,0.25
1,SIRV202,1,0.25,4
1,SIRV203,1,0.5,0.25
1,SIRV204,1,1,1
1,SIRV205,1,2,0.03125
1,SIRV206,1,0.5,0.25
1,SIRV301,1,0.25,4
1,SIRV302,1,2,0.03125
1,SIRV303,1,1,1
1,SIRV304,1,2,0.03125
1,SIRV305,1,0.5,0.25
1,SIRV306,1,0.5,0.25
1,SIRV307,1,1,1
1,SIRV308,1,0.25,4
1,SIRV309,1,0.5,0.25
1,SIRV310,1,2,0.03125
1,SIRV311,1,0.25,4
1,SIRV403,1,2,0.03125
1,SIRV404,1,1,1
1,SIRV405,1,2,0.03125
1,SIRV406,1,0.25,4
1,SIRV408,1,2,0.03125
1,SIRV409,1,0.5,0.25
1,SIRV410,1,0.25,4
1,SIRV501,1,0.5,0.25
1,SIRV502*,1,2,0.03125
1,SIRV503,1,0.5,0.25
1,SIRV504,1,0.5,0.25
1,SIRV505,1,1,1
1,SIRV506,1,1,1
1,SIRV507,1,2,0.03125
1,SIRV508,1,0.25,4
1,SIRV509,1,0.5,0.25
1,SIRV510,1,2,0.03125
1,SIRV511,1,2,0.03125
1,SIRV512,1,0.5,0.25
1,SIRV601,1,2,0.03125
1,SIRV602,1,0.25,4
1,SIRV603,1,2,0.03125
1,SIRV604,1,1,1
1,SIRV605,1,0.5,0.25
1,SIRV606,1,0.5,0.25
1,SIRV607,1,1,1
1,SIRV608,1,0.5,0.25
1,SIRV609,1,1,1
1,SIRV610,1,0.5,0.25
1,SIRV611,1,2,0.03125
1,SIRV612,1,0.25,4
1,SIRV613,1,1,1
1,SIRV614,1,0.5,0.25
1,SIRV615,1,0.5,0.25
1,SIRV616,1,0.25,4
1,SIRV617,1,1,1
1,SIRV618,1,2,0.03125
1,SIRV701,1,0.5,0.25
1,SIRV702,1,2,0.03125
1,SIRV703,1,2,0.03125
1,SIRV704,1,2,0.03125
1,SIRV705,1,1,1
1,SIRV706,1,1,1
1,SIRV708,1,1,1
