ENSMUSG00000000001.4 Gnai3
ENSMUSG00000000003.15 Pbsn
ENSMUSG00000000028.14 Cdc45
ENSMUSG00000000037.16 Scml2
ENSMUSG00000000049.11 Apoh
ENSMUSG00000000056.7 Narf
ENSMUSG00000000058.6 Cav2
ENSMUSG00000000078.7 Klf6
ENSMUSG00000000085.16 Scmh1
ENSMUSG00000000088.7 Cox5a
ENSMUSG00000000093.6 Tbx2
ENSMUSG00000000094.12 Tbx4
ENSMUSG00000000103.12 Zfy2
ENSMUSG00000000120.6 Ngfr
ENSMUSG00000000125.5 Wnt3
ENSMUSG00000000126.11 Wnt9a
ENSMUSG00000000127.14 Fer
ENSMUSG00000000131.15 Xpo6
ENSMUSG00000000134.17 Tfe3
ENSMUSG00000000142.15 Axin2
ENSMUSG00000000148.17 Brat1
ENSMUSG00000000149.10 Gna12
ENSMUSG00000000154.16 Slc22a18
ENSMUSG00000000157.15 Itgb2l
ENSMUSG00000000159.15 Igsf5
ENSMUSG00000000167.14 Pih1d2
ENSMUSG00000000168.9 Dlat
ENSMUSG00000000171.5 Sdhd
ENSMUSG00000000182.9 Fgf23
ENSMUSG00000000183.6 Fgf6
ENSMUSG00000000184.12 Ccnd2
ENSMUSG00000000194.13 Gpr107
ENSMUSG00000000197.7 Nalcn
ENSMUSG00000000202.9 Btbd17
ENSMUSG00000000204.16 Slfn4
ENSMUSG00000000214.11 Th
ENSMUSG00000000215.11 Ins2
ENSMUSG00000000216.8 Scnn1g
ENSMUSG00000000223.13 Drp2
ENSMUSG00000000244.17 Tspan32
ENSMUSG00000000247.11 Lhx2
ENSMUSG00000000248.16 Clec2g
ENSMUSG00000000253.13 Gmpr
ENSMUSG00000000263.15 Glra1
ENSMUSG00000000266.11 Mid2
ENSMUSG00000000275.16 Trim25
ENSMUSG00000000276.11 Dgke
ENSMUSG00000000278.10 Scpep1
ENSMUSG00000000282.12 Mnt
ENSMUSG00000000290.13 Itgb2
ENSMUSG00000000295.13 Hddc2
ENSMUSG00000000296.8 Tpd52l1
ENSMUSG00000000301.16 Pemt
ENSMUSG00000000303.12 Cdh1
ENSMUSG00000000305.12 Cdh4
ENSMUSG00000000308.14 Ckmt1
ENSMUSG00000000317.11 Bcl6b
ENSMUSG00000000318.16 Clec10a
ENSMUSG00000000320.10 Alox12
ENSMUSG00000000325.15 Arvcf
ENSMUSG00000000326.12 Comt
ENSMUSG00000000339.14 Rtca
ENSMUSG00000000340.10 Dbt
ENSMUSG00000000346.8 Dazap2
ENSMUSG00000000355.13 Mcts1
ENSMUSG00000000359.3 Rem1
ENSMUSG00000000365.9 Rnf17
ENSMUSG00000000374.8 Trappc10
ENSMUSG00000000378.15 Ccm2
ENSMUSG00000000381.10 Wap
ENSMUSG00000000384.15 Tbrg4
ENSMUSG00000000385.7 Tmprss2
ENSMUSG00000000386.14 Mx1
ENSMUSG00000000392.17 Fap
ENSMUSG00000000394.15 Gcg
ENSMUSG00000000399.10 Ndufa9
ENSMUSG00000000402.2 Egfl6
ENSMUSG00000000409.14 Lck
ENSMUSG00000000411.7 Tssk3
ENSMUSG00000000416.16 Cttnbp2
ENSMUSG00000000420.15 Galnt1
ENSMUSG00000000435.1 Myf5
ENSMUSG00000000439.9 Mkrn2
ENSMUSG00000000440.12 Pparg
ENSMUSG00000000441.17 Raf1
