,Batch,Cell,Cell_line,Fullname,Place,Platform,Protocol,Protocol2,Read_type,Well,repeat
ERR1901831,SMARTer,2,ESC,SMARTer_2,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901830,SMARTer,1,ESC,SMARTer_1,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901832,SMARTer,3,ESC,SMARTer_3,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901833,SMARTer,4,ESC,SMARTer_4,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901834,SMARTer,5,ESC,SMARTer_5,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901835,SMARTer,6,ESC,SMARTer_6,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901836,SMARTer,7,ESC,SMARTer_7,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901837,SMARTer,8,ESC,SMARTer_8,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901838,SMARTer,9,ESC,SMARTer_9,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901839,SMARTer,10,ESC,SMARTer_10,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901840,SMARTer,11,ESC,SMARTer_11,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901842,SMARTer,13,ESC,SMARTer_13,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901841,SMARTer,12,ESC,SMARTer_12,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901843,SMARTer,14,ESC,SMARTer_14,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901844,SMARTer,15,ESC,SMARTer_15,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901845,SMARTer,16,ESC,SMARTer_16,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901847,SMARTer,18,ESC,SMARTer_18,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901846,SMARTer,17,ESC,SMARTer_17,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901848,SMARTer,19,ESC,SMARTer_19,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901850,SMARTer,21,ESC,SMARTer_21,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901849,SMARTer,20,ESC,SMARTer_20,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901851,SMARTer,22,ESC,SMARTer_22,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901852,SMARTer,23,ESC,SMARTer_23,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901853,SMARTer,24,ESC,SMARTer_24,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901854,SMARTer,25,ESC,SMARTer_25,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901856,SMARTer,27,ESC,SMARTer_27,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901857,SMARTer,28,ESC,SMARTer_28,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901860,SMARTer,31,ESC,SMARTer_31,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901861,SMARTer,32,ESC,SMARTer_32,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901862,SMARTer,33,ESC,SMARTer_33,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901859,SMARTer,30,ESC,SMARTer_30,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901863,SMARTer,34,ESC,SMARTer_34,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901865,SMARTer,36,ESC,SMARTer_36,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901867,SMARTer,38,ESC,SMARTer_38,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901868,SMARTer,39,ESC,SMARTer_39,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901855,SMARTer,26,ESC,SMARTer_26,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901858,SMARTer,29,ESC,SMARTer_29,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901869,SMARTer,40,ESC,SMARTer_40,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901864,SMARTer,35,ESC,SMARTer_35,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901866,SMARTer,37,ESC,SMARTer_37,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901870,SMARTer,41,ESC,SMARTer_41,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901871,SMARTer,42,ESC,SMARTer_42,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901872,SMARTer,43,ESC,SMARTer_43,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901875,SMARTer,46,ESC,SMARTer_46,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901874,SMARTer,45,ESC,SMARTer_45,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901873,SMARTer,44,ESC,SMARTer_44,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901876,SMARTer,47,ESC,SMARTer_47,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901878,SMARTer,49,ESC,SMARTer_49,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901879,SMARTer,50,ESC,SMARTer_50,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901880,SMARTer,51,ESC,SMARTer_51,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901881,SMARTer,52,ESC,SMARTer_52,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901883,SMARTer,54,ESC,SMARTer_54,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901877,SMARTer,48,ESC,SMARTer_48,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901884,SMARTer,55,ESC,SMARTer_55,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901882,SMARTer,53,ESC,SMARTer_53,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901886,SMARTer,57,ESC,SMARTer_57,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901885,SMARTer,56,ESC,SMARTer_56,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
